Topology,Speed,essential_bits,total_bits,total_images,misslabels,time(µs),FPS,Avg_time(µs),Status
t1w2,50000,2948064,84749504,18,18,1117,16114,62,ERR
t1w4,50000,4006685,84749504,18,18,1117,16114,62,ERR
t1w8,50000,9216893,84749504,18,18,1117,16114,62,ERR
t2w2,50000,2714926,84749504,18,18,1676,10739,93,ERR
t2w4,50000,3526171,84749504,18,18,1676,10739,93,ERR
t2w8,50000,4978603,84749504,18,18,1693,10632,94,ERR
t1w2,5000,2204458,84749504,18,18,2960,6081,164,ERR
t1w4,5000,2887847,84749504,18,18,2961,6079,164,ERR
t1w8,5000,4819971,84749504,18,18,2959,6083,164,ERR
t2w2,5000,1989696,84749504,18,18,3480,5172,193,ERR
t2w4,5000,2280910,84749504,18,18,3480,5172,193,ERR
t2w8,5000,4379765,84749504,18,18,3478,5175,193,ERR
t1w2,500,2124430,84749504,18,18,33359,539,1853,ERR
t1w4,500,2774533,84749504,18,18,33395,539,1855,ERR
t1w8,500,4581484,84749504,18,18,33358,539,1853,ERR
t2w2,500,1938793,84749504,18,18,26728,673,1484,ERR
t2w4,500,2217444,84749504,18,18,26697,674,1483,ERR
t2w8,500,4206197,84749504,18,18,26723,673,1484,ERR
t1w2,5000,2204458,84749504,1,1,213,4694,213,ERR
t1w4,5000,2887847,84749504,1,1,213,4694,213,ERR
t1w8,5000,4819971,84749504,1,1,213,4694,213,ERR
t2w2,5000,1989696,84749504,1,1,222,4504,222,ERR
t2w4,5000,2280910,84749504,1,1,222,4504,222,ERR
t2w8,5000,4379765,84749504,1,1,222,4504,222,ERR
t1w2,50000,2948064,84749504,1,1,71,14084,71,ERR
t1w4,50000,4006685,84749504,1,1,71,14084,71,ERR
t1w8,50000,9216893,84749504,1,1,72,13888,72,ERR
t2w2,50000,2714926,84749504,1,1,108,9259,108,ERR
t2w4,50000,3526171,84749504,1,1,108,9259,108,ERR
t2w8,50000,4978603,84749504,1,1,125,8000,125,ERR
t1w2,500,2124430,84749504,1,1,2233,447,2233,ERR
t1w4,500,2774533,84749504,1,1,2234,447,2234,ERR
t1w8,500,4581484,84749504,1,1,2233,447,2233,ERR
t2w2,500,1938793,84749504,1,1,1844,542,1844,ERR
t2w4,500,2217444,84749504,1,1,1846,541,1846,ERR
t2w8,500,4206197,84749504,1,1,1843,542,1843,ERR
,,,,,,,,,