Topology,Speed,essential_bits,total_bits,total_images,misslabels,time(µs),FPS,Avg_time(µs),Status,Accuracy
t1w2,500,8075273,84749504,18,15,33257,541,1847,ERR,"4,59"
t1w4,500,8719035,84749504,18,4,33257,541,1847,ERR,"86,63"
t1w8,500,10505625,84749504,18,0,33257,541,1847,OK,"98,58"
t2w2,500,7918143,84749504,18,5,26597,676,1477,ERR,"89,19"
t2w4,500,8239135,84749504,18,0,26597,676,1477,OK,"96,69"
t2w8,500,10310893,84749504,18,0,26597,676,1477,OK,"98,80"
t1w2,5000,8143599,84749504,18,15,2842,6333,157,ERR,"4,59"
t1w4,5000,8865259,84749504,18,4,2847,6322,158,ERR,"86,63"
t1w8,5000,10789372,84749504,18,0,2847,6322,158,OK,"98,58"
t2w2,5000,8078708,84749504,18,5,3377,5330,187,ERR,"89,19"
t2w4,5000,8208134,84749504,18,0,3377,5330,187,OK,"96,69"
t2w8,5000,10496710,84749504,18,0,3377,5330,187,OK,"98,80"
t1w2,50000,8988908,84749504,18,15,1134,15873,63,ERR,"4,59"
t1w4,50000,10125705,84749504,18,4,1134,15873,63,ERR,"86,63"
t1w8,50000,15442744,84749504,18,0,1134,15873,63,OK,"98,58"
t2w2,50000,8765566,84749504,18,5,1692,10638,94,ERR,"89,19"
t2w4,50000,9564377,84749504,18,0,1692,10638,94,OK,"96,69"
t2w8,50000,11068645,84749504,18,0,1712,10514,95,OK,"98,80"